node_id,smiles
0,O
1,F
2,II
3,OO
4,CN
5,CON
6,[C]
7,[P]
8,C=O
9,[V]
10,OCl
11,N#N
12,[B]
13,O=O
14,CCO
15,ClCl
16,CCCO
17,[Pt]
18,N#CN
19,CCNC
20,[Fe]
21,O=CO
22,[He]
23,[Sm]
24,NCCO
25,[Ne]
26,[Au]
27,[Gd]
28,O=NO
29,[Ti]
30,CCCl
31,[Ta]
32,[Co]
33,[KH]
34,[Ca]
35,[F-]
36,[Mo]
37,[Al]
38,CN=N
39,[Ba]
40,[Cd]
41,[Se]
42,[K+]
43,[Ac]
44,[Ag]
45,[In]
46,[Rb]
47,[Zn]
48,[Cr]
49,[Bk]
50,NCCN
51,[I-]
52,[Sb]
53,NCCS
54,[Nb]
55,OCCS
56,[Cu]
57,[Si]
58,CCN=O
59,C1CC1
60,[OH-]
61,COCCO
62,[Cl-]
63,OCCCO
64,CCCCN
65,[Na+]
66,[18F]
67,[3He]
68,O=BOO
69,CCCCO
70,[90Y]
71,[Au+]
72,[Li+]
73,[Ag+]
74,O=C=O
75,[N]=O
76,N=CCN
77,[La+3]
78,COCCOC
79,[Ni+2]
80,[Fe+3]
81,[Al+3]
82,CC(C)O
83,IC(I)I
84,[Mn+2]
85,[O-]Cl
86,ClSSCl
87,OB(O)O
88,[Ga+3]
89,[Sb+5]
90,[Mg+2]
91,[81Kr]
92,ClCCCl
93,[Bi+3]
94,[99Tc]
95,CN=C=O
96,[51Cr]
97,OCCCCO
98,O=[Zn]
99,[Cu+2]
100,[Cr+3]
101,NCCCCN
102,[MgH2]
103,CCCCCN
104,I[Hg]I
105,[Gd+3]
106,[Co+2]
107,[Fe+2]
108,CCOCCO
109,[Ca+2]
110,F[Sn]F
111,[18F-]
112,[Zn+2]
113,[223Ra]
114,NC(=O)O
115,CC(O)CO
116,[82Rb+]
117,NC(N)=O
118,[111In]
119,[131I-]
120,NCCCCCN
121,CCCCC=O
122,CS(C)=O
123,[13NH3]
124,[153Sm]
125,N=C(N)N
126,[123I-]
127,O=P[O-]
128,[177Lu]
129,N/C=C\S
130,O=N[O-]
131,[133Xe]
132,O[SiH3]
133,CC(=O)O
134,[32PH3]
135,O=CCC=O
136,CC(N)=O
137,OCCCCCCO
138,OB1OCCO1
139,C#[N+]CC
140,N=C(N)NO
141,[201Tl+]
142,OCC(O)CO
143,CN(C)C=O
144,NCC(N)=O
145,O=C1CCO1
146,S=[Se]=S
147,CC(=O)OO
148,CCC(=O)O
149,C1CNCCN1
150,CC(O)CCO
151,Cl[Hg]Cl
152,CCC(N)=O
153,CN(C)CCO
154,OCCSSCCO
155,NCC(=O)O
156,O=[Ti]=O
157,C1COCCO1
158,C1CCOCC1
159,O=C(O)CO
160,CC(=O)Cl
161,Cl[Cu]Cl
162,CC(=O)NO
163,N=C(N)NN
164,CC(C)CCO
165,OCC(S)CS
166,NCCCCCCN
167,[89Sr+2]
168,NC(=O)NO
169,[67Ga+3]
170,O=[Si]=O
171,C=CC(=O)O
172,CCCC(=O)O
173,CC(=O)C=O
174,CC(C)(C)O
175,Ic1ccccc1
176,O[Sb](O)O
177,Cc1ccccc1
178,Nc1ccccc1
179,O=CC(=O)O
180,CCOC(N)=O
181,Oc1ccccc1
182,[I-].[K+]
183,CC(=O)CCO
184,CNCC(=O)O
185,O=CCCCC=O
186,OC1CCCCC1
187,BrC(Br)Br
188,CCCCCON=O
189,[223Ra+2]
190,CCCC(N)=O
191,COCCOCCOC
192,O=C(O)CCO
193,CCCCCCCCO
194,O=C(O)CBr
195,[111In+3]
196,NC1=NCCS1
197,CCCCB(O)O
198,Sc1ccccn1
199,Nc1ccncc1
200,NCCC(=O)O
201,ClN(Cl)Cl
202,O=C(CO)CO
203,C/C=C/C=O
204,Cc1cccnc1
205,O=C1CCCO1
206,C=C(Br)CO
207,O[As](O)O
208,CCSC(=N)N
209,OCCCCCCBr
210,NOCC(=O)O
211,O=P(O)(O)O
212,FCC(F)(F)F
213,O.O=[Si]=O
214,N=C(N)O.OO
215,O=[Se](O)O
216,OCc1ccccc1
217,CN1CCCC1=O
218,C[PH](=O)O
219,C=C(Br)CCO
220,CCNC(=O)OC
221,CNC(=S)NCO
222,c1cn[nH]c1
223,[K+].[OH-]
224,CCCCC(=O)O
225,O=C(O)CCCO
226,CCOC(=O)NC
227,c1c[nH]cn1
228,NCCCC(=O)O
229,SCc1cccnc1
230,CCCCC(O)CO
231,NCc1ccccc1
232,OCc1cccnc1
233,OCC(F)(F)F
234,[C-]#[N+]C
235,Nc1ccccc1F
236,O=[O+][O-]
237,Nc1ccccc1O
238,O[Zn-](O)O
239,[Cl-].[K+]
240,N#[N+][O-]
241,OCCOCCOCCO
242,CC(=O)[O-]
243,Oc1ccccc1O
244,NCCCCCCCCN
245,S1SSSSSSS1
246,CCCOC(C)=O
247,NCCNCCNCCN
248,[I-].[Na+]
249,c1nc[nH]n1
250,CCCCCC(C)N
251,NCCCCNCCCN
252,CCCCCCCCCO
253,[F-].[Na+]
254,O=C1CCCCC1
255,CCOCCOCCOC
256,OCCc1ccccc1
257,[NH3+]CCCCO
258,[Cl-].[Na+]
259,[S-]SSS[S-]
