smiles1,smiles2,label
5217,5050,1.0
6929,4674,0.0
2069,4531,0.0
8939,299,0.0
5178,7682,1.0
6555,5094,1.0
4961,4302,1.0
459,3992,0.0
5147,9410,0.0
2424,8951,0.0
1962,7351,1.0
4328,7251,1.0
7037,5733,0.0
321,2421,1.0
2304,5694,1.0
2553,6387,1.0
5405,6329,1.0
203,3009,0.0
4362,5813,0.0
1769,4216,1.0
2173,926,1.0
3586,7447,1.0
5861,4172,0.0
4082,2594,1.0
14,1327,1.0
6676,2732,1.0
7905,2460,0.0
2224,568,0.0
268,5145,0.0
2632,6326,1.0
4082,3086,1.0
4233,2414,0.0
2414,9417,1.0
3712,3489,1.0
7841,697,0.0
7682,5673,1.0
1958,4559,0.0
7256,5402,0.0
8429,1264,0.0
9384,105,0.0
7003,5058,0.0
4191,6937,1.0
4317,4842,1.0
1156,6706,1.0
3879,1467,0.0
7190,2800,0.0
1949,8388,1.0
6143,7546,1.0
917,2940,0.0
2270,6326,1.0
3377,8675,1.0
5319,5130,1.0
3017,5219,0.0
2313,5028,0.0
7418,3693,0.0
8740,5924,0.0
1612,7682,1.0
4679,9640,1.0
2079,2270,1.0
7537,5371,0.0
5163,8276,1.0
5362,6831,0.0
7890,8071,0.0
3948,8157,0.0
4212,6158,0.0
6606,2518,1.0
2598,3133,0.0
4183,2964,0.0
4177,1174,0.0
8361,5807,0.0
1937,2068,1.0
2928,6296,1.0
5805,8571,0.0
2398,3850,1.0
1378,3769,1.0
7734,3271,0.0
3592,3967,0.0
1326,1553,1.0
91,7006,0.0
2553,1965,1.0
9390,4671,1.0
362,2786,0.0
1900,8858,1.0
3458,8302,1.0
3489,8628,1.0
1142,7660,0.0
1678,72,1.0
1655,1372,0.0
3101,1708,0.0
1908,2715,1.0
1494,2698,1.0
6794,6919,0.0
7546,4512,1.0
4861,4662,1.0
6052,9648,0.0
3848,4421,1.0
3571,4112,1.0
135,24,0.0
2166,2206,0.0
8205,7554,1.0
8779,4869,0.0
2011,6265,1.0
2569,6265,1.0
4604,5720,1.0
2004,8018,0.0
8614,7435,0.0
2316,7662,0.0
1959,1937,1.0
5997,6336,1.0
9350,3085,0.0
6945,6213,1.0
5035,7725,0.0
2179,4121,0.0
9545,9210,1.0
3160,8628,1.0
9380,4572,0.0
114,1935,0.0
5580,9061,1.0
2872,4224,1.0
6074,807,0.0
1511,1039,1.0
2569,6430,1.0
3769,1598,1.0
9409,4580,1.0
8619,1273,0.0
4263,4151,1.0
420,1168,1.0
3203,7853,1.0
1953,4581,0.0
208,2457,0.0
2414,8049,1.0
1647,6583,1.0
4629,1855,0.0
9039,7207,1.0
6872,2379,0.0
3526,532,0.0
2632,1615,1.0
1533,4194,0.0
5217,6326,1.0
7167,6767,1.0
560,6884,0.0
7234,8230,1.0
4702,8338,0.0
7257,2022,1.0
1383,2169,1.0
7117,1444,1.0
2309,452,1.0
293,8047,0.0
7995,1490,1.0
8239,9217,1.0
1423,9409,1.0
4246,6949,0.0
4579,3401,0.0
6676,7999,1.0
5875,3759,0.0
6706,8492,1.0
5131,6673,0.0
3840,2824,1.0
3551,4329,0.0
3312,8604,0.0
2479,9130,1.0
1221,1963,0.0
4806,954,0.0
6217,7338,0.0
6969,9278,0.0
2953,8519,0.0
3748,5292,0.0
1453,3192,1.0
7586,7932,1.0
7289,2632,1.0
6709,3436,0.0
5319,4889,1.0
7506,4688,0.0
6326,2682,1.0
984,7177,0.0
6175,6725,0.0
308,9086,0.0
5586,9123,1.0
8369,6453,0.0
367,923,0.0
4537,292,0.0
1491,2118,0.0
2603,5694,1.0
2931,8957,0.0
5613,6358,0.0
1587,7553,0.0
1757,6116,1.0
6225,6958,0.0
813,1339,1.0
170,2066,0.0
1198,8552,0.0
5242,5448,0.0
6989,7287,1.0
9174,8143,1.0
3586,8574,1.0
2851,5405,0.0
7506,4016,0.0
187,8578,0.0
3848,8078,1.0
6570,321,1.0
1274,7903,0.0
2191,6439,1.0
8205,9409,1.0
7223,5861,0.0
5792,8562,1.0
3047,1793,0.0
2398,4112,1.0
7764,8113,0.0
9244,7746,0.0
5643,9040,0.0
1798,447,0.0
5509,8282,0.0
4139,4662,1.0
6761,4561,1.0
1962,500,1.0
9450,4734,1.0
3906,7636,0.0
9114,3535,1.0
1924,8479,0.0
7316,7053,0.0
4305,864,0.0
7682,6923,1.0
5375,3107,0.0
6296,4599,1.0
3111,8410,1.0
9450,6326,1.0
2181,2141,0.0
6945,4075,1.0
3605,2035,1.0
3111,7150,0.0
9324,8969,0.0
4819,2022,1.0
1918,5178,1.0
9522,182,0.0
9469,813,1.0
4593,7226,1.0
1590,7223,1.0
2001,1795,1.0
89,6796,0.0
8928,5286,1.0
3699,8810,0.0
3857,7368,0.0
541,6507,0.0
8302,4599,1.0
5704,7924,0.0
6450,1944,0.0
7459,4452,0.0
950,9395,0.0
4392,6706,1.0
5241,7015,0.0
2153,2022,1.0
7237,3990,0.0
9064,4662,1.0
7918,5868,0.0
5955,2625,1.0
1658,287,0.0
5753,6716,0.0
3547,1331,0.0
8432,4446,0.0
7617,2195,0.0
8966,6642,0.0
6992,346,0.0
1326,2354,1.0
3302,321,1.0
2607,1904,0.0
6527,6840,0.0
7414,6770,0.0
6990,5782,0.0
4318,1875,1.0
9489,4938,0.0
6053,3481,1.0
1383,5383,1.0
5283,4658,0.0
4161,3914,0.0
3491,100,0.0
4624,4150,1.0
1225,753,0.0
4566,8790,1.0
6195,8220,0.0
2035,4286,1.0
5835,5372,0.0
3458,7848,1.0
7862,8375,0.0
3769,240,1.0
4932,8450,1.0
4624,8756,1.0
3248,5282,0.0
8923,9174,1.0
4997,2725,1.0
7237,657,0.0
881,7767,0.0
1177,1298,0.0
3151,4112,1.0
8363,869,0.0
4865,9210,1.0
6813,4376,0.0
1138,4295,0.0
1900,3134,1.0
928,1811,0.0
2872,2682,1.0
6298,4624,1.0
3307,5094,1.0
3302,6919,1.0
8258,9528,0.0
926,495,1.0
3077,2366,1.0
1590,3218,1.0
6170,6188,0.0
9469,6317,1.0
6106,4393,0.0
5904,2732,0.0
2414,8764,1.0
5173,3114,0.0
3196,2824,1.0
6564,1153,0.0
7822,6012,0.0
9554,3773,0.0
3578,6554,0.0
5721,356,1.0
2791,8933,0.0
5094,8911,1.0
8833,6930,0.0
1122,814,1.0
8074,3278,0.0
6804,6194,0.0
1162,6430,0.0
1372,8213,0.0
6326,4601,1.0
6406,8143,1.0
3032,3315,1.0
3458,4580,1.0
9130,7877,0.0
9430,3871,0.0
5440,7242,0.0
5572,2346,0.0
4082,1692,1.0
2149,251,0.0
